Id,V1,V2,Cluster
childabuse,-0.187100485,-0.3271392,1
childcustodyjurisdictionandenforcementact,0.139215241,-0.175107257,1
childlab,-0.23499976,-0.22714534,1
childpornography,0.008433569,-0.048648551,1
childrest,-0.234681941,-0.27864691,1
childseat,-0.337753209,0.089196356,1
childwitnesstestimonybyalternativemethodsact,-0.033445234,-0.458578913,1
chirolic,-0.439270718,0.186319274,1
cigtax,-0.324231263,0.300815473,1
citzon,-0.212004225,-0.230560195,1
civildefenseanddisastercompact,0.286727266,0.306552493,1
civinjaut,0.229441881,0.389333681,1
classactions,0.251091655,0.451343534,1
clinic_access,0.427182878,0.160374506,1
cogrowman,0.233329684,0.334873528,1
colcanscr,0.112213678,-0.085482404,1
collaborativelawact,-0.070355986,0.376181041,1
collateralconsequencesofconvictionact,0.031753539,0.096119821,1
collegesavings,-0.262465842,-0.395824117,1
coloradorivercompact,-0.133299408,-0.089013473,1
comage,0.052289659,0.070063614,1
commercialcasino,0.246697001,0.035875598,1
commercialrealestatereceivershipact,-0.271278048,0.303194004,1
commoninterestownersbillofrights,0.273633789,-0.432070534,1
commoninterestownershipact1982,-0.081328363,0.417310368,1
commoninterestownershipact1994,0.377816157,0.236375831,1
commoninterestownershipact2008,-0.216866048,0.390242958,1
compactforeducation,0.099640375,0.425500979,1
compactonadoptionandmedicalassistance,-0.196421087,0.074870034,1
compactonmentalhealth,0.132197457,-0.413559791,1
compactonplacementofchildren,0.318872736,0.333725123,1
compcrime,0.327413065,-0.324020256,1
compsch,-0.125686847,0.359391683,1
computerinformationtransactionsact,0.002180238,0.057621186,1
comsrv12,0.00488109,0.301489076,1
comsrvdy,-0.08041421,0.403688959,1
conacchwy,-0.292231787,-0.141076597,1
concealedcarry,-0.068043788,-0.177836132,1
condominiumact,-0.113860515,-0.348804081,1
conflictsoflaws_limitationsact,0.303125916,-0.2013759,1
connecticutriveratlanticsalmoncompact,0.341787059,0.108718634,1
conservationeasementact,-0.157861532,0.21155087,1
consgsoil,-0.297329593,0.09549265,1
const_protect,-0.008295279,-0.285839003,1
consumercreditcode,0.086046839,-0.449662053,1
consumerleasesact,-0.055691675,-0.28993716,1
consumersalespractices,-0.098971775,-0.225528747,1
continsurance,-0.200203699,-0.31096637,1
contr_eq,0.17681443,0.468522804,1
contrains,-0.073795139,-0.463151674,1
controlledsubstancesact,0.003033175,0.447052737,1
corporateeff_yearadopted,0.451657895,0.164161889,1
corporaterenew_yearadopted,-0.214306741,-0.143679862,1
corporlimits,0.279613535,0.188823154,1
correct,-0.420502828,0.138586953,1
correctionorclarificationofdefamation,-0.441565049,-0.228663415,1
cpban,0.267619839,-0.066046497,1
credfreez,-0.269939397,0.300861148,1
creditcardtheft,0.286362722,0.061583235,1
crimeviccomp,-0.452372879,-0.151560014,1
crtadm,0.414733059,0.33354375,1
custodialtrustact,-0.377970237,0.344292333,1
cyberstalk,-0.096301933,-0.247362276,1
damagereduce,0.411470657,-0.054872598,1
damremov,-0.153260788,0.355354386,1
deaf,0.18551483,-0.387362048,1
deathpen,0.390196771,0.065440456,1
debt_managementservices2011,-0.390963354,-0.053376711,1
debt_managementservicesact2005,0.424078738,0.257538916,1
debtlim,-0.208052711,0.322294404,1
deceptivetradepracticesact1964,0.04100088,-0.056190323,1
declaratoryjudgmentsact,0.174076447,-0.279698254,1
delawareriverbasincompact,-0.33163548,-0.396236867,1
denlic,-0.106513325,-0.000315833,1
deployedparentscustodyandvisitationact,0.421440214,-0.090181977,1
determinationofdeathact,-0.40567314,-0.334486228,1
dev_s1,-0.170134793,-0.310115171,1
dev_s10,0.477799881,0.132671975,1
dev_s2,-0.421424585,-0.266785568,1
dev_s3,0.396450394,-0.203367297,1
dev_s4,0.1454638,-0.346167982,1
dev_s5,0.060628324,-0.475576609,1
dev_s6,0.297682621,-0.303405576,1
dev_s7,-0.303514303,0.253734891,1
dev_s8,0.297931527,-0.315564648,1
dev_s9,0.244363938,0.117973852,1
dirdem,-0.215456033,0.331934914,1
dirprim,0.355687269,-0.333323769,1
disclaimerofpropertyinterestsact,0.157716825,-0.24200615,1
disclaimerofpropertyinterestsact1973,-0.12740814,0.097839275,1
discoveryofelectronicallystoredinformationrulesrelatingto,0.315580051,0.421872333,1
discrenot,-0.382903627,0.210836949,1
dispositionofcommunitypropertyrightsatdeathact1971,-0.173892923,0.134292916,1
divisionofincomefortaxpurposes,-0.402631303,0.28828215,1
dnafelon,0.372978479,-0.373333419,1
dnaforexon,0.378859098,0.412800058,1
dormantmineralinterestsactmodel,-0.085970008,0.024355891,1
driverlicensecompact,-0.216797129,0.068318897,1
drugs_boehmke_statrapag,0.252761712,-0.41026231,1
drugs_boehmke_zeroto,0.167531974,0.361921672,1
drugs_marijuana_decriminalizati,-0.328706943,-0.003962523,1
drugs_medical_marijuan,0.204559747,-0.334391427,1
drugs_smoking_ban_restaurant,0.298130824,0.108791182,1
drugs_smoking_ban_workplace,-0.307542423,0.20941931,1
drugtest,0.317601043,0.33849823,1
dual_enroll,-0.228225026,0.456348271,1
dui,-0.217783314,-0.301421281,1
dui08,0.129475231,0.470752029,1
durablepowerofattorney,0.081279825,0.487202109,1
dutiestopersonswithmedicaliddevices,0.109991331,0.142323306,1
dwireform,-0.072042087,-0.390148414,1
earlvot,-0.481920427,0.114350103,1
earned_income_taxcredi,-0.378973872,-0.215829687,1
econdev,0.194505009,0.027076457,1
education,-0.469602163,0.098113828,1
education_corporal_punishment_b,0.237836481,0.314775561,1
education_teacher_cert_elementa,0.286782043,0.001460691,1
education_teacher_cert_h,0.203388981,0.081052898,1
edutv,0.08795747,-0.422119772,1
elecdereg,0.088643973,0.450216027,1
electroniclegalmaterialact,0.19514623,-0.221875176,1
electronicrecordationofcustodialinterrogations,0.288184509,-0.098187831,1
electronictransactionsact,0.171914643,0.107073597,1
emcont_avail,-0.305603456,0.170842378,1
emergencymanagementassistancecompact,-0.156318568,-0.404865212,1
emergencyvolunteerhealthpractitioners,0.415833403,0.226694998,1
eminentdomaincode,-0.33987512,0.242581771,1
eminentscholar,0.433856294,-0.182203255,1
enforcementofforeignjudgmentsact,0.273405626,0.235063056,1
englic,-0.4040719,-0.351412934,1
engonly,-0.401542806,-0.280146997,1
enterzone,-0.081557643,0.480519624,1
entitytransactionsactmodel2007lastamended2013,-0.349232449,0.373040298,1
environ,-0.015205883,-0.105269532,1
environment_air_pollution_contr,-0.451453933,-0.215456643,1
environment_bottlebil,-0.173955582,-0.419718392,1
environment_ca_car_emissions_st,-0.058119983,-0.114657715,1
environment_electronic_wast,-0.371302269,-0.282720038,1
environment_ghg_ca,0.371855148,-0.111423812,1
environment_publicbenefit_fund,-0.011202894,0.388441334,1
environment_state_nepa,0.02258528,0.388361633,1
environmentalcovenantsact,0.165882061,0.166056414,1
eqrightam,-0.042260951,0.426391527,1
equalpay,-0.468614564,-0.2026107,1
estate_ta,0.308302193,-0.382742935,1
estatetaxapportionmentandprobatecode3_916,-0.421279134,0.160595751,1
ewaste,0.242609368,-0.461715717,1
exemptionsactmodel,0.012313194,0.37489031,1
expsta,-0.239196596,-0.248896335,1
extraditionandrenditionactmodel,-0.377298056,0.229559668,1
facsimilesignaturesofpublicofficials,0.474532098,-0.169931667,1
fairemp,0.175523356,-0.472095774,1
fairtrade,0.191963873,-0.34089924,1
faithfulpresidentialelectorsact,0.387172594,-0.23142236,1
famcap,-0.327389784,0.300423165,1
famlim,0.514281127,-0.001660462,1
federallienregistrationact,-0.369929686,0.154425337,1
fetaldispos,0.128843612,-0.39004563,1
fetalheart,-0.162927616,0.262011697,1
fetalhomic,0.03641785,-0.304340269,1
fetalpain,0.36113891,0.324606835,1
fhpriv,-0.123670888,0.041667477,1
fhpub,0.236019994,0.216888305,1
fhurb,0.124999066,0.088669496,1
fiduciaryaccesstodigitalassetsact2014,-0.173554456,0.019483516,1
fiduciaryaccesstodigitalassetsactrevised2015,-0.351376977,-0.307370286,1
filmtaxcredit,0.279199792,-0.277984818,1
fish,-0.079416684,0.512646787,1
foca,-0.050255769,-0.483300828,1
foia,-0.477906599,-0.099007017,1
foreign_countrymoneyjudgmentsrecognitionact,-0.361741442,0.06805464,1
foreignmoneyclaimsact,-0.472256318,-0.274191056,1
foreignmoneyjudgmentsrecognitionact,-0.061446795,0.063470318,1
forest,-0.451883175,-0.106018753,1
fraudulenttransferact1984,-0.03571925,0.40466059,1
frontpass_seatbelt,0.043407781,0.366015595,1
funds_avail,-0.487912779,0.078841021,1
fundslife,0.221989264,-0.120324626,1
fundslifehea,0.219333265,0.485076292,1
furlough,-0.063700861,-0.062333806,1
furprog,0.336620835,0.041388565,1
gagrule,-0.220462437,-0.004091234,1
gambling_casino,0.096601213,-0.341203776,1
gambling_lottery_adoptio,-0.101938609,0.433597098,1
gap,0.208456031,-0.124829065,1
gastax,0.083088336,-0.093947344,1
gay_employment_discrim_genderi,-0.357050469,-0.201744956,1
gayhate,0.108173672,-0.383311541,1
gaymarban,0.022383177,-0.169294527,1
gayrights_ban_sodom,0.355303647,-0.016935019,1
gayrights_civilunion,-0.303012873,0.375936893,1
gayrights_hatecrime,0.451673186,-0.135773966,1
gayrights_marriag,-0.416233743,-0.089026992,1
gdl,-0.073456068,-0.504681353,1
gender_disc_laws_post196,-0.020649575,-0.281166296,1
genderrights_era_ratificatio,0.228080182,0.062522902,1
genderrights_gender_discriminat,-0.465118691,-0.313455882,1
genderrights_gender_equal_pa,-0.334596641,0.249306481,1
genderrights_nofault_divorc,-0.143223071,0.181092467,1
genderrights_state_era,-0.169438407,-0.082697999,1
giexorder,0.192023308,-0.305459766,1
gilaw,0.518957944,0.014228575,1
goodsam911,0.463940271,0.351983964,1
governance_reform,0.299226361,0.143234599,1
grandvist,-0.395214638,-0.110742673,1
greatlakes_st.lawrenceriverbasinwaterresourcescompact,0.360356845,-0.031180767,1
greatlakesbasincompact,0.308401556,0.129286412,1
guardianshipandprotectiveproceedingsact1997,0.145201073,0.355680788,1
guncontrl_bc_private_handgu,0.120777596,-0.19277128,1
guncontrl_bc_private_rifl,0.159863352,-0.022433076,1
guncontrl_waitperiod_handgu,0.458371296,0.306212783,1
guncontrol_assaultweapon_ba,-0.14843315,0.026937436,1
guncontrol_licenses_dealer,-0.463349507,-0.262112453,1
guncontrol_opencarr,0.458124322,0.301855408,1
guncontrol_satnightspecial_ba,0.45172828,-0.223736304,1
harass,-0.380317859,0.16038737,1
hatecrime,-0.357397578,0.287087126,1
hatecrimes,0.436608643,0.399831477,1
hazing,-0.482106035,-0.23798632,1
health,-0.404236655,0.401284831,1
health_caredecisionsact,-0.202608604,-0.194906352,1
health_careinformationact,0.483660784,0.327479227,1
healthcarecompact,0.033006993,-0.466973194,1
helmetlaw_17,0.310965165,0.341247232,1
helmetlaw_learn,-0.302075374,-0.417085605,1
helmetlaw_pass,-0.489637582,-0.057677059,1
higissue,-0.039177078,-0.483903718,1
higrenew,-0.371354078,0.432412548,1
hiport,0.278076602,-0.269639676,1
hiprecon,0.43784862,0.417461841,1
hmomod1,-0.399011509,0.380151098,1
hmomod2,0.480761532,0.202791195,1
homerul,-0.404106877,-0.052605067,1
hostliability,-0.296426308,-0.076004953,1
hsexit,-0.001736335,0.54016496,1
humantraffic,0.257837044,0.394519119,1
humrel,-0.263012455,0.393531724,1
hwyagen,0.409645776,0.20395124,1
idas,-0.452811757,0.184653188,1
ide,0.398983075,-0.376820295,1
identitytheft,0.461072866,-0.062308994,1
idtheft,-0.357914284,-0.196472219,1
imcontsub,0.456025275,-0.009192836,1
imitcontsub,-0.276696636,-0.463929583,1
immigration_english_languag,0.07576259,0.449577174,1
immigration_instate_tuition_ill,-0.464517111,-0.31482827,1
inctax,0.018863116,0.464318776,1
indgaming,-0.489248223,0.294550133,1
indlimit,-0.310863132,-0.356186785,1
indorgris,-0.325005919,0.36168957,1
infanthear,-0.345737188,-0.470186744,1
infconsent,0.19461791,0.539049386,1
infertility,-0.343135944,-0.376511508,1
informationpracticescode,0.106389406,-0.16468738,1
initiative,-0.262287232,0.255266289,1
ins_stateexch,0.419818622,-0.085450735,1
insandefref,-0.022480041,0.5403898,1
insanity,0.380237737,0.017971656,1
insanitydefenseandpost_trialdisposition,0.089783078,0.287726246,1
insprivate,-0.062202285,-0.376003288,1
inspublic,0.455483047,-0.332716856,1
inst_tu_und,0.418089806,0.420196421,1
inst_tu_vet,-0.178211488,0.23123495,1
insurableinterestamendmenttotheuniformtrustcode,-0.326403914,0.38942344,1
inswaiver,0.411773626,0.071079416,1
intbar,-0.382889785,-0.204022742,1
interpleadercompact,-0.173634927,0.334067753,1
interreg,0.337316552,0.395142831,1
interstatecompactforadultoffendersupervision,0.225961339,0.180935995,1
interstatecompactforjuveniles,0.48464963,0.414097334,1
interstatecompactonadoptionandmedicalassistance,0.357659761,0.489304908,1
interstatecompactoneducationalopportunityformilitarychildren,0.012476159,-0.37659778,1
interstatecompactonindustrialized/modularbuildings,0.469279495,-0.461345729,1
interstatecompactonlicensureofparticipantsinhorseracingwithpari_mutuelwagering,0.43228494,-0.469158711,1
interstatecompactonmentallydisorderedoffenders,0.005086022,-0.482543398,1
interstatecompacttoconserveoilandgas,-0.135138196,-0.489461256,1
interstatecorrectionscompact,-0.100229562,-0.424818659,1
interstatedepositionsanddiscoveryact,-0.143624344,0.517789981,1
interstateenforcementofdomesticviolenceprotectionordersact,-0.188673315,0.38037519,1
interstatefamilysupportact19921996,0.513368114,0.051103203,1
interstatefamilysupportact2001,0.351714408,0.50242398,1
interstatefamilysupportactamendments2008,-0.293025272,0.484076923,1
interstatehighspeedrailnetworkcompact,-0.147884633,0.141144433,1
interstateinsuranceproductregulationcompact,-0.197114573,0.099680412,1
interstatelibrarycompact,-0.346910432,-0.052499651,1
interstatemedicallicensurecompact,-0.421347111,0.145695573,1
interstateminingcompact,-0.139098305,-0.370816247,1
interstaterailpassengernetworkcompact,-0.400051732,-0.393487883,1
intestacywillsanddonativetransfersact,0.103570136,-0.137638652,1
jucoen,-0.248167688,0.356970084,1
juvct,-0.372934103,0.063756412,1
juvisup,-0.496050835,0.238586213,1
keg_reg,-0.052528224,0.502141962,1
kegreg,-0.470531763,-0.343948333,1
kidhelmet,0.025549429,-0.216844924,1
kinship,0.553105892,0.05373486,1
labor_age_discriminatio,0.250082546,-0.54289371,1
labor_collective_bargaining_sta,0.170905607,0.239484619,1
labor_collective_bargaining_tea,-0.457100164,0.100007205,1
labor_minimumwage_me,0.206404795,-0.484612748,1
labor_minwage_abovefe,-0.536046726,-0.055128086,1
labor_prevailing_wage_la,-0.421327055,0.213502421,1
labor_relations_tafthar,0.504111613,-0.427699991,1
labor_relations_wagne,-0.278444706,0.268503249,1
labor_right_to_wor,-0.435382917,-0.361228885,1
labor_state_ada_accomodat,0.008472481,-0.114054584,1
labor_state_ada_antidiscri,0.043060448,-0.527072877,1
labor_state_disability_insuranc,0.322830762,0.393425892,1
labor_state_retirement_syste,-0.173858121,0.256597646,1
laborag,-0.432459937,0.470364144,1
landsalespractices,-0.252251063,-0.291162518,1
lawonnotarialactsrevised,-0.219103323,0.489472946,1
legpre,0.154640314,-0.076875993,1
legresea,-0.219829102,-0.299733922,1
lemon,-0.478527244,0.000816336,1
libext,-0.10754279,-0.162440263,1
license_plates,0.006547762,-0.319371977,1
licenseplate,-0.070473125,-0.285439406,1
licenses_accountant,0.397316665,-0.510988304,1
lien,-0.32860375,-0.453711826,1
limitedcooperativeassociationact2007lastamended2013,0.345601125,-0.132586217,1
limitedliabilitycompany19951996,0.131800703,-0.154999834,1
limitedliabilitycompany2006lastamended2013,0.471261906,-0.209294027,1
limitedpartnership1976,-0.118828837,-0.367409605,1
limitedpartnershipact1916,0.134691765,0.417279286,1
limitedpartnershipact2001lastamended2013,0.477957046,0.128943886,1
livingwill,-0.527563511,-0.198023119,1
lott,0.165065294,0.411633172,1
mailreg,0.32778826,0.098893361,1
manaccess,0.033041371,-0.004583781,1
managementofinstitutionalfundsact,0.251215642,-0.37514214,1
managementofpublicemployeeretirementsystemsact,-0.01156487,0.448639311,1
manclin,-0.103093944,0.570841496,1
mandatorydispositionofdetainers,-0.154851962,0.510707657,1
mandnot,0.513963558,-0.085491108,1
maritalpropertyact,0.388685015,-0.230144092,1
marriageanddivorceactmodel,0.098777848,0.155134603,1
medianot,-0.107790118,-0.106573186,1
mediationact,-0.371877331,-0.426977527,1
medicaid_stateadoptio,-0.07312605,0.407899941,1
medicalrest,-0.257748992,-0.366641661,1
medmar,-0.190933938,-0.025831698,1
meganslaw,0.47081968,-0.16980376,1
mendeapen,-0.324916457,-0.40800769,1
merit,0.236884456,-0.237301172,1
meritaid,-0.018415105,0.334580434,1
meritstateadmin,-0.017707911,-0.392350211,1
methpre,0.345764519,-0.476685272,1
middleatlanticforestfireprotectioncompact,0.18464566,0.414967157,1
midwesternhighereducationcompact,-0.475331326,0.389872784,1
midwestinterstatelow_levelradioactivewastecompact,0.232803193,-0.224768091,1
midwestinterstatepassengerrailcompact,-0.249880297,0.27659445,1
miglab,-0.296740195,0.245164643,1
militaryandoverseasvotersact,0.538983023,-0.036312808,1
minfine,-0.127388048,-0.415662003,1
minorstudentcapacitytoborrowact1969,-0.09928104,0.497430591,1
minwage,0.163050992,0.425261768,1
missplan,-0.409966436,-0.0102552,1
mlda21,-0.070665921,-0.453936495,1
mntlhlth,0.266272437,0.52385956,1
modelmandatorydispositionofdetainersact,0.394296646,0.55018522,1
modelrealestatetime_shareact,0.431915845,0.222860708,1
modelstateadministrativeprocedureact1981,-0.171144149,0.355117609,1
moneyservicesact,0.541685574,0.127540665,1
mothersaid,-0.178072584,-0.423096295,1
mothpen,-0.134773179,-0.432476917,1
motorhelm,0.141951239,0.149094534,1
motorvoter,-0.402919566,0.425483321,1
mprisdm,-0.361119115,0.319819815,1
msas,0.220645407,0.171324705,1
multiple_personaccounts,-0.572649577,-0.015601909,1
multistatehighwaytransportationagreement,-0.272747146,-0.535488681,1
multistatelotteryagreement,-0.27678358,-0.334509948,1
multistatetaxcompact,-0.46272402,-0.085287783,1
naticurric,0.169281159,0.518090778,1
nationalcrimepreventionandprivacycompact,-0.009225451,-0.195130376,1
nationalguardmutualassistancecompact,-0.499381568,0.216867304,1
nationalguardmutualassistancecounter_drugactivitiescompact,-0.0848842,-0.326510765,1
nationalpopularvoteinterstatecompact,0.458256824,-0.043964664,1
natreso,0.20289127,-0.356967694,1
neartotalban,0.239588289,0.487626805,1
neighnot,-0.062076582,0.34694108,1
netmeter,0.442081154,-0.242455101,1
netmeter_yearadopted,-0.088428832,-0.537641234,1
newbornheartscreen,-0.05100565,0.436121678,1
newenglandcorrectionscompact,0.24526701,-0.027621802,1
newenglandhighereducationcompact,0.13828114,0.564824575,1
newenglandinterstatewaterpollutioncontrolcompact,0.390325905,0.035010931,1
newenglandpolicecompact,0.308986206,0.526242691,1
newenglandradiologicalhealthprotectioncompact,0.153930432,-0.500388886,1
nonprobatetransfersondeathact,-0.201226834,0.17346908,1
nonresidentviolatorcompact,-0.545536701,0.153932586,1
norealid,0.372385919,0.161117435,1
northeasterninterstateforestfireprotectioncompact,0.39814114,0.398675437,1
northwestcompactonlow_levelradioactivewastemanagement,0.52621076,0.189405404,1
notarialacts1982,0.513656251,0.376200166,1
nrmlsch,0.507652753,0.239142028,1
nrslic,0.017873993,0.570371728,1
nurselicensurecompact,0.514471547,-0.273105655,1
offwmh,-0.023771155,0.106877969,1
ohiorivervalleywatersanitationcompact,0.408905899,0.490609627,1
oldagea,0.096525014,-0.601200042,1
opencont,0.301158332,0.548609553,1
optinnot,0.041750193,-0.204078048,1
pacificmarinefisheriescompact,-0.301071372,-0.412192995,1
painmanagement,-0.405509237,0.204872289,1
paperterror,0.576060533,0.104041618,1
parconsent,0.173615898,-0.169907941,1
parcounsel,0.574933773,-0.202209166,1
parentageact,0.455966682,-0.399982783,1
parentageact1973,0.120348354,0.18204374,1
parksys,0.579983292,-0.224098905,1
parnotific,-0.008959456,0.177397141,1
parolesup,0.199338245,-0.252980318,1
partitionofheirspropertyact,-0.111802804,-0.334239047,1
partnershipact1914,0.529529771,0.247787899,1
partnershipact1997lastamended2013,-0.065804153,0.292078741,1
pbf,-0.300220384,0.065508082,1
pdrugmon,0.191853657,-0.232736544,1
perforfun,0.069933344,-0.488300202,1
periodicpaymentofjudgmentsact,0.1726443,0.479570222,1
personaltax_yearadopted,0.345813465,0.226319701,1
personaltaxeff_yearadopted,-0.499052391,-0.551714127,1
pestcomp,-0.430597384,-0.491273751,1
pharmlic,-0.50429413,0.024565849,1
physicaltherapylicensurecompact,0.144490319,-0.514472391,1
physreq,-0.163490179,0.419377889,1
plannedcommunityact,-0.163799356,0.619078463,1
pldvpag,0.503842842,0.331574297,1
post_convictionprocedureactmodel,-0.430617246,0.586908781,1
postdna,-0.563635953,0.301598077,1
postvia,0.609192574,0.077804549,1
potomacvalleycompact,-0.441176674,0.218201368,1
powerofattorney,-0.220280588,0.031280577,1
powersofappointment,0.223012162,-0.25058449,1
pre20wk,-0.474237058,-0.276105065,1
preconvictdays,-0.313141417,-0.265676264,1
premaritalagreementact,-0.344553628,-0.315473016,1
premaritalandmaritalagreementsact,0.003519393,-0.346122154,1
prepaid,0.332404582,0.092297867,1
prepaytut,-0.463927273,-0.554590685,1
prescdrug,0.533319132,-0.510301817,1
preventionofandremediesforhumantrafficking,0.365299817,-0.161070723,1
primaryenforce_all,-0.166764819,0.466937704,1
primaryenforce_minor,0.278966364,0.086287464,1
primseat,0.000890068,0.186908054,1
principalandincomeact1962,0.107295492,-0.208357431,1
principalandincomeact2000,0.605556498,-0.354153917,1
principalandincomeamendments2008,0.222810274,-0.392966514,1
prisondayswag,0.562311792,-0.001786664,1
prkagcit,0.130945478,0.239110586,1
prob,0.442902556,-0.523493465,1
probatecode,0.296620529,0.138742074,1
probatecodeamendments2008,-0.305411411,0.36289242,1
protectionofcharitableassetsactmodel,0.158756157,-0.625422164,1
prudentinvestoract,0.264755105,-0.069693589,1
prudentmanagementofinstitutionalfundsact,0.547308521,-0.401717484,1
pubaccess,-0.313116844,-0.574060607,1
pubbenefits_yearadopted,-0.341185035,0.431510019,1
pubbrefeed,-0.416500682,0.351624118,1
pubcamfun,-0.441468916,0.502349015,1
pubemployees,-0.546406952,-0.511052895,1
pubfacilities,-0.605511763,0.175037153,1
pubhouen,-0.461869287,0.274782841,1
r_d_tax_credit,0.202301651,0.328555644,1
race_boehmke_fhpu,-0.143120779,0.389599125,1
race_boehmke_fhur,0.495698511,-0.551651815,1
race_disc_publicaccom_agenc,0.052499395,0.450235059,1
race_fair_employmen,-0.098167298,0.624617527,1
race_fair_housing_law,-0.374703068,0.070357281,1
race_fair_housing_owne,-0.58554767,0.134681677,1
racialpro,-0.613458655,0.286808575,1
rackact,-0.355959092,-0.197963806,1
rapeshield,0.329576378,-0.571199373,1
realest,0.390023979,-0.30865881,1
realestatecooperative,0.216666764,-0.312044877,1
realpropertyelectronicrecordingact,0.592208776,0.058602426,1
realpropertytransferondeathact,-0.529030442,0.547854031,1
reciprocalenforcementofsupportact1950,0.570943102,-0.568414,1
recipsup,0.524294929,0.209452955,1
recognitionandenforcementofcanadiandomestic_violenceprotectionorders,-0.46780921,-0.331975474,1
recognitionofsubstitutedecision_makingdocuments,-0.408108469,0.172270897,1
refuseserv,-0.214221913,0.511475651,1
registeredagentsactmodel2006lastamended2011,-0.307093198,0.081592505,1
regreq,-0.083562587,-0.043233669,1
